iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.005511251888005063,0.005448003299534321,-14830.602521043284,-14830.602521043284
2,0.0034942051811376585,0.001800727448426187,-12077.221124207092,-12077.221124207092
3,0.0016203607100760565,0.0018678558990359306,-15965.225955482349,-12077.221124207092
4,0.0013694977990817278,0.0011047734878957272,-9663.565104832873,-9663.565104832873
5,0.0012944966617505996,0.0013573949690908194,-8309.46476858427,-8309.46476858427
6,0.0012189721634495072,0.0012499105650931597,-11485.369668865867,-8309.46476858427
7,0.0011900106011307797,0.0012579007307067513,-10823.934184198059,-8309.46476858427
8,0.0011887930674129167,0.0008612366509623826,-8483.10061716914,-8309.46476858427
9,0.0011449969951063395,0.0009053326793946326,-10796.121383830672,-8309.46476858427
10,0.0011252759015769698,0.0009238194907084107,-8504.358140741695,-8309.46476858427
11,0.001114720658690203,0.001078472239896655,-8480.162330118474,-8309.46476858427
12,0.0010891111788223498,0.0010283277370035648,-6291.74791541927,-6291.74791541927
13,0.0010788804710609838,0.0009756661020219326,-9919.955825541036,-6291.74791541927
14,0.0010595556386979296,0.0008699409663677216,-6062.294858542646,-6062.294858542646
15,0.0010498547785100527,0.0010194492060691118,-6468.651612187921,-6062.294858542646
16,0.001037065170588903,0.001027157879434526,-5574.798274046236,-5574.798274046236
17,0.001036646784225013,0.0009244306129403412,-4227.034171508693,-4227.034171508693
18,0.0010333383720717393,0.001190032227896154,-4101.573956060079,-4101.573956060079
19,0.0010223213627468795,0.0008588404743932188,-4791.372320771627,-4101.573956060079
20,0.0010193890206282958,0.001090288395062089,-4068.6143040928105,-4068.6143040928105
21,0.0010101929181837476,0.000899129023309797,-3392.5619353407783,-3392.5619353407783
22,0.0010117597221396863,0.0011068361345678568,-3278.3132234846885,-3278.3132234846885
23,0.0010043627373524941,0.0007703616283833981,-4600.237383822875,-3278.3132234846885
24,0.0009991900865570643,0.0010604126146063209,-4126.7596258060585,-3278.3132234846885
25,0.0009957323719281704,0.0008393945172429085,-4469.425917211665,-3278.3132234846885
26,0.0009938782826066017,0.0009676454355940223,-4453.5377501684425,-3278.3132234846885
27,0.0009792561734793708,0.0012862769654020667,-5187.758166061824,-3278.3132234846885
28,0.0009736661053320858,0.0010063176741823554,-3863.600702417419,-3278.3132234846885
29,0.0009698244772152975,0.0011002632090821862,-4821.084562775607,-3278.3132234846885
30,0.0009751032320200466,0.0012512195389717817,-6521.906256178178,-3278.3132234846885
31,0.0009574339832179249,0.0009082093019969761,-5023.790744509269,-3278.3132234846885
32,0.0009494270312716253,0.0008331693825311959,-5486.541182590004,-3278.3132234846885
33,0.0009454480602580588,0.0009859026176854968,-4551.995682705104,-3278.3132234846885
34,0.0009091080604121089,0.0008981850114651024,-4456.55176240069,-3278.3132234846885
