iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.007926017846446485,0.0075620259158313274,-49533.48185382935,-49533.48185382935
2,0.007216050861403346,0.007615449372678995,-70765.43632398441,-49533.48185382935
3,0.005916859635151922,0.004493889398872852,-46028.85890103975,-46028.85890103975
4,0.004356463389238343,0.004668114706873894,-49936.98929261951,-46028.85890103975
5,0.0038646106210071594,0.0035712902899831533,-48202.586667820935,-46028.85890103975
6,0.003638827208895236,0.0028334090020507574,-52374.27273350472,-46028.85890103975
7,0.003558721070876345,0.00337283150292933,-47229.62666366183,-46028.85890103975
8,0.003531263750512153,0.0029769677203148603,-51349.932881591325,-46028.85890103975
9,0.0034501143428497015,0.004372768569737673,-54060.76349211072,-46028.85890103975
10,0.003444631074438803,0.0035968453157693148,-52076.574969986206,-46028.85890103975
11,0.003443262261105701,0.0036720430944114923,-55532.481420333796,-46028.85890103975
12,0.003412182326661423,0.0025159718934446573,-56963.6563183694,-46028.85890103975
13,0.0034088648930191996,0.003128091339021921,-58128.47322524854,-46028.85890103975
14,0.0033948122293222696,0.003919720184057951,-68744.9503024919,-46028.85890103975
15,0.003393181431107223,0.003182324580848217,-64667.80283368977,-46028.85890103975
16,0.003409505500923842,0.003334594890475273,-64660.081325123356,-46028.85890103975
17,0.0033852831627009436,0.0036154421977698803,-68880.98503737444,-46028.85890103975
18,0.0033704858317505568,0.003344279946759343,-66464.66954725694,-46028.85890103975
19,0.0033671572245657444,0.002731834538280964,-64796.23390785706,-46028.85890103975
20,0.003335581358289346,0.003378126071766019,-63885.71453766456,-46028.85890103975
21,0.0033707404586020857,0.004186069592833519,-62557.69844075195,-46028.85890103975
22,0.0033362558358348907,0.0030245757661759853,-66998.91223042077,-46028.85890103975
23,0.0033717237166129054,0.003067560261115432,-61541.59431726911,-46028.85890103975
24,0.0033404101363848893,0.002480599330738187,-63852.28250762187,-46028.85890103975
25,0.003348484361311421,0.0051719993352890015,-61486.675500707584,-46028.85890103975
26,0.0033605604356853292,0.0032970907632261515,-62299.50084063251,-46028.85890103975
27,0.0033413931995164604,0.003850692417472601,-64984.808434826664,-46028.85890103975
28,0.003305643815547228,0.003636135021224618,-66951.50409114662,-46028.85890103975
29,0.0033198690363205967,0.0025990866124629974,-64451.37949429369,-46028.85890103975
30,0.0033252063393592836,0.0038438476622104645,-64408.928012243814,-46028.85890103975
31,0.0033315683910623193,0.0028319053817540407,-60759.622728085,-46028.85890103975
32,0.0033184945487882943,0.0028941258788108826,-67822.96921867596,-46028.85890103975
33,0.003318787392694503,0.0035720074083656073,-62503.686590533085,-46028.85890103975
34,0.0032883493497502057,0.0032463634852319956,-59918.94316613301,-46028.85890103975
35,0.0033057144123595206,0.0038994273636490107,-62756.97167287632,-46028.85890103975
36,0.0033198540164157747,0.0034463440533727407,-63663.544571481376,-46028.85890103975
37,0.0032659671023720876,0.002805377123877406,-62335.44420412524,-46028.85890103975
38,0.003310823024250567,0.003040963551029563,-66351.9853048077,-46028.85890103975
39,0.003282633339287713,0.003132992424070835,-65826.94914805073,-46028.85890103975
40,0.00330542601342313,0.004121461883187294,-71911.21596049395,-46028.85890103975
41,0.0032648137080250306,0.0032556462101638317,-64850.096628615436,-46028.85890103975
42,0.003290938525926322,0.004175432492047548,-61831.34108230935,-46028.85890103975
43,0.003289212686591782,0.0036785397678613663,-61995.48460859837,-46028.85890103975
44,0.0033040294060483577,0.003234884003177285,-62993.17303269234,-46028.85890103975
45,0.0033203490492887794,0.002994157839566469,-63489.17838425093,-46028.85890103975
46,0.003289804454660043,0.004088871646672487,-63116.47164811456,-46028.85890103975
47,0.0032965058498084544,0.0033637513406574726,-68442.44602347595,-46028.85890103975
48,0.0032886065831407903,0.0036884963046759367,-65185.05376341897,-46028.85890103975
49,0.0032801430833060293,0.0034401114098727703,-63427.3447398128,-46028.85890103975
50,0.003270066753379069,0.002084325300529599,-65211.141407326795,-46028.85890103975
51,0.003260117549216375,0.0031036469154059887,-64635.40755618037,-46028.85890103975
52,0.003261516431113705,0.003510671202093363,-67119.480816117,-46028.85890103975
53,0.003271802290342748,0.0030111907981336117,-67620.97025749776,-46028.85890103975
54,0.0032946415559854357,0.003321508876979351,-66601.84578858138,-46028.85890103975
55,0.0032671499131247403,0.003380602691322565,-69229.96551008034,-46028.85890103975
