iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.007628411924466491,0.007952865213155746,-56381.14034583151,-56381.14034583151
2,0.005875923102954403,0.005502788349986076,-59605.99636042381,-56381.14034583151
3,0.003961690122028813,0.003247403772547841,-62037.46813882396,-56381.14034583151
4,0.003667610239237547,0.003456696169450879,-69146.05014099534,-56381.14034583151
5,0.00355859758425504,0.004727063234895468,-69675.0704492302,-56381.14034583151
6,0.003492393034277484,0.003596877446398139,-60844.5757329707,-56381.14034583151
7,0.003492943322402425,0.003529783571138978,-64397.1581064392,-56381.14034583151
8,0.003433445228030905,0.004094615578651428,-66618.17804188021,-56381.14034583151
9,0.0033965321660507472,0.0026831210125237703,-63709.75740962376,-56381.14034583151
10,0.003408226230647415,0.00303174857981503,-74096.76722990349,-56381.14034583151
11,0.003361460469197482,0.0035725662019103765,-91959.4642809072,-56381.14034583151
12,0.0033526831306517125,0.002861104439944029,-78970.43926665939,-56381.14034583151
13,0.0033526387363672257,0.003946945071220398,-71456.7097282756,-56381.14034583151
14,0.003315709132468328,0.003187601687386632,-65371.973357480085,-56381.14034583151
15,0.0033139907930744813,0.004082231316715479,-74746.08645498469,-56381.14034583151
16,0.003277943375054747,0.0028155650943517685,-74221.04859372931,-56381.14034583151
17,0.0032923573297448457,0.003314513247460127,-71846.58176864038,-56381.14034583151
18,0.0033035990758799017,0.0032645200844854116,-78787.37069115973,-56381.14034583151
19,0.0032844982121605425,0.002611845266073942,-81085.40572922512,-56381.14034583151
20,0.0032514331045094876,0.003853785339742899,-72197.43475983168,-56381.14034583151
21,0.0032609757767058907,0.0035277591086924076,-84095.54603107357,-56381.14034583151
22,0.0032641228968277574,0.0035361575428396463,-72998.69584630209,-56381.14034583151
23,0.0032673938592197374,0.0033646703232079744,-68758.64079621411,-56381.14034583151
24,0.0032874621357768773,0.0043746596202254295,-70477.98329236131,-56381.14034583151
25,0.0032507454985752702,0.0033726757392287254,-64585.634038637705,-56381.14034583151
26,0.003291000975761563,0.0030351043678820133,-62611.76956017434,-56381.14034583151
27,0.0032628564722836017,0.0038905672263354063,-77040.97724119604,-56381.14034583151
28,0.003274964484851807,0.0035632026847451925,-65413.385940628046,-56381.14034583151
29,0.003226614411221817,0.003486649366095662,-64965.48111434883,-56381.14034583151
30,0.0032570055092219262,0.003911213483661413,-63266.2676899944,-56381.14034583151
31,0.003230990698677488,0.0034178642090409994,-57110.15710301829,-56381.14034583151
32,0.0032073160659056156,0.0025212913751602173,-64007.177513096576,-56381.14034583151
33,0.0032186150153866036,0.003733948338776827,-61077.16420079209,-56381.14034583151
34,0.0032047994342865424,0.0030543904285877943,-60144.487940728264,-56381.14034583151
35,0.0031740053788525983,0.00373713462613523,-56830.957499224554,-56381.14034583151
36,0.003208563908818178,0.0025708458852022886,-57372.41312880637,-56381.14034583151
37,0.0031677665053866802,0.0039158412255346775,-62941.95684153787,-56381.14034583151
38,0.0031907848295522853,0.003656012238934636,-61721.493328028104,-56381.14034583151
39,0.003196417915634811,0.003645964665338397,-60051.427137073304,-56381.14034583151
40,0.0032037961744936184,0.003053423250094056,-54477.56329749093,-54477.56329749093
41,0.0031735158178489657,0.003244029125198722,-54448.52160435191,-54448.52160435191
42,0.0031905301937367766,0.00326794502325356,-58818.10503245895,-54448.52160435191
43,0.0032050763634033502,0.003715791739523411,-61307.94386750364,-54448.52160435191
44,0.0031695667784661053,0.0032081562094390392,-55446.500454929344,-54448.52160435191
45,0.0031667600973742083,0.0032496752683073282,-54351.90936124616,-54351.90936124616
46,0.003186396388919093,0.0038607497699558735,-56832.458315047064,-54351.90936124616
47,0.003177788494853303,0.0037977148313075304,-55244.42331348517,-54351.90936124616
