iter,train_loss_mean,action_error,test_total_reward,best_total_reward
1,0.0054855161441955715,0.0061864121817052364,-19750.71477034969,-19750.71477034969
2,0.0033055045208893715,0.0021735099144279957,-8913.003838885938,-8913.003838885938
3,0.0015925798796233722,0.0016777471173554659,-7806.875018095448,-7806.875018095448
4,0.0013923730788519607,0.0013420573668554425,-8827.436827446474,-7806.875018095448
5,0.0012797379497205838,0.0010703413281589746,-8093.200069972471,-7806.875018095448
6,0.0012390313477953895,0.0013499887427315116,-7110.510227244241,-7110.510227244241
7,0.0012048482387908735,0.0012311204336583614,-8274.411835686993,-7110.510227244241
8,0.0011571679526823572,0.0010109447175636888,-10197.92806920564,-7110.510227244241
9,0.0011506787941907533,0.0010991792660206556,-8097.568337987058,-7110.510227244241
10,0.0011272493642172775,0.0013229332398623228,-9165.354251631708,-7110.510227244241
11,0.0011171473302529194,0.0013510427670553327,-7619.826009650529,-7110.510227244241
12,0.0010965948970406317,0.00124233472160995,-7142.205362585827,-7110.510227244241
13,0.0010841558144311422,0.0009501700988039374,-11077.90878596624,-7110.510227244241
14,0.0010657934313639999,0.0008902138797566295,-10626.539763388131,-7110.510227244241
15,0.0010611407029791735,0.001184412743896246,-8381.72865342025,-7110.510227244241
16,0.0010475545669323765,0.0011967492755502462,-11961.022698338347,-7110.510227244241
17,0.0010495619327994064,0.0010600347304716706,-9893.447785194763,-7110.510227244241
18,0.0010472044915077277,0.0010555183980613947,-8310.381484871896,-7110.510227244241
19,0.001036324545450043,0.0008051340701058507,-7759.712598822854,-7110.510227244241
20,0.0010274813463329337,0.0012168241664767265,-5564.150378465915,-5564.150378465915
21,0.0010061008741613477,0.0009813773212954402,-5383.295044543485,-5383.295044543485
22,0.001004803870455362,0.0009016137919388711,-5014.260235079545,-5014.260235079545
23,0.000993631910707336,0.0008886251016519964,-6135.365796906609,-5014.260235079545
24,0.0009841497940942644,0.001113146310672164,-5447.65166160043,-5014.260235079545
25,0.0009739145496860147,0.0009670013096183538,-5057.843040061327,-5014.260235079545
26,0.0009668562065926381,0.0006766889127902687,-6328.360299968447,-5014.260235079545
27,0.0009523043444787618,0.0013575501507148147,-6038.802143360236,-5014.260235079545
28,0.0009544971258146688,0.0011149843921884894,-5253.0646260880685,-5014.260235079545
29,0.0009412589942803607,0.000993075082078576,-4499.179336465667,-4499.179336465667
30,0.0009346373898442835,0.0008572245133109391,-3151.3039642458257,-3151.3039642458257
31,0.000921551850362448,0.0012259396025910974,-5577.538585347401,-3151.3039642458257
32,0.0009176219893852249,0.0008913830970413983,-5500.589842561251,-3151.3039642458257
33,0.0009159941448888276,0.0009369996841996908,-5600.9738308191,-3151.3039642458257
34,0.0008986347757745535,0.0010115769691765308,-5025.875668810512,-3151.3039642458257
35,0.0009001867983024568,0.0009997317101806402,-5403.5492874022375,-3151.3039642458257
36,0.0008947739669529256,0.0010411321418359876,-4255.644982396722,-3151.3039642458257
37,0.0008935549443121999,0.0009838701225817204,-4936.83650588498,-3151.3039642458257
